公司,年/月,季別,合併(Y/N),月份,幣別,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  避險之金融資產－流動,  合約資產－流動,  應收帳款及票據,  其他應收款,  資金貸予他人－流動,  存貨,  生物資產流動,  預付費用及預付款,  應收代理店款,  待出售非流動資產,  當期所得稅資產－流動,  其他金融資產－流動,  其他流動資產,流動資產,  透過損益按公允價值衡量之金融資產－非流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  按攤銷後成本衡量之金融資產－非流動,  避險之金融資產－非流動,  合約資產－非流動,  採權益法之長期股權投資,  預付投資款,  不動產廠房及設備,    商譽淨額,    特許權,    發展中之無形資產,    其他無形資產淨額,  商譽及無形資產合計,    遞延所得稅資產,    其他遞延資產淨額,  遞延資產合計,    遞延借項－非流動,    使用權資產,    投資性不動產淨額,    預付設備款,    長期預付租金,    生物資產非流動,    其他非流動資產－其他,  其他非流動資產,非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  避險之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  負債準備－流動,  與待出售非流動資產直接相關之負債,  其他金融負債－流動,  租賃負債─流動,  一年內到期長期負債,  特別股負債－流動,  應付代理店款,  其他流動負債,流動負債,  透過損益按公允價值衡量之金融負債－非流動,  避險之金融負債－非流動,  按攤銷後成本衡量之金融負債－非流動,  合約負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  銀行借款－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,  其他非流動負債,非流動負債,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,    國外營運機構財務報表換算之兌換差額,    透過其他綜合損益按公允價值衡量之金融資產未實現損益,    指定按公允價值衡量之金融負債信用風險變動影響數,    確定福利計畫再衡量數,    避險工具損益,    不動產重估增值,    與待出售非流動資產直接相關之權益,    員工未賺得酬勞,    股東權益其他調整項,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
1234 黑松,2023/12,4,Y,12,NTD,1489381.00 ,60101.00 ,0.00 ,64837.00 ,0.00 ,0.00 ,853029.00 ,115934.00 ,0.00 ,5423428.00 ,0.00 ,47961.00 ,0.00 ,0.00 ,0.00 ,0.00 ,20176.00 ,8074847.00 ,658.00 ,0.00 ,56251.00 ,0.00 ,0.00 ,846189.00 ,0.00 ,5878238.00 ,0.00 ,0.00 ,0.00 ,6688.00 ,6688.00 ,35560.00 ,0.00 ,35560.00 ,0.00 ,68051.00 ,7569877.00 ,37000.00 ,0.00 ,0.00 ,186638.00 ,7861566.00 ,14685150.00 ,22759997.00 ,700000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,14015.00 ,354195.00 ,464703.00 ,136991.00 ,0.00 ,0.00 ,0.00 ,18846.00 ,0.00 ,0.00 ,0.00 ,40533.00 ,1729283.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,50416.00 ,0.00 ,0.00 ,63195.00 ,2142828.00 ,128360.00 ,2384799.00 ,4114082.00 ,4018711.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4018711.00 ,187082.00 ,2665085.00 ,4357281.00 ,7305359.00 ,14327725.00 ,(32748.00),145145.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,112397.00 ,0.00 ,18645915.00 ,0.00 ,0.00 ,0.00 ,18645915.00 ,22759997.00 
1301 台塑,2023/12,4,Y,12,NTD,6147041.00 ,1641598.00 ,90739431.00 ,0.00 ,0.00 ,0.00 ,14249583.00 ,3343886.00 ,17515666.00 ,21439773.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4561284.00 ,159638262.00 ,0.00 ,18408990.00 ,0.00 ,0.00 ,0.00 ,222537086.00 ,0.00 ,112452052.00 ,0.00 ,0.00 ,0.00 ,563243.00 ,563243.00 ,1192430.00 ,0.00 ,1192430.00 ,0.00 ,2307666.00 ,0.00 ,0.00 ,0.00 ,0.00 ,13638627.00 ,15946293.00 ,371100094.00 ,530738356.00 ,38852694.00 ,30663374.00 ,0.00 ,0.00 ,0.00 ,1309623.00 ,11631240.00 ,2441514.00 ,0.00 ,0.00 ,0.00 ,0.00 ,60234.00 ,5242797.00 ,0.00 ,0.00 ,12900200.00 ,103101676.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,34664786.00 ,21362108.00 ,0.00 ,1294833.00 ,0.00 ,0.00 ,3609170.00 ,19209364.00 ,136274.00 ,80276535.00 ,183378211.00 ,63657408.00 ,0.00 ,0.00 ,0.00 ,0.00 ,63657408.00 ,11829847.00 ,78532046.00 ,87559869.00 ,44712409.00 ,210804324.00 ,(1924536.00),62058632.00 ,0.00 ,0.00 ,(68123.00),1002593.00 ,0.00 ,0.00 ,0.00 ,61068566.00 ,0.00 ,347360145.00 ,0.00 ,0.00 ,0.00 ,347360145.00 ,530738356.00 
